"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 18:19:38 GMT 2023","Fri Jun 02 18:19:38 GMT 2023","35","","","","","","Retrieve all products",""
"passed","Fri Jun 02 18:19:38 GMT 2023","Fri Jun 02 18:19:38 GMT 2023","33","","","","","","Get a product by ID",""
"passed","Fri Jun 02 18:19:38 GMT 2023","Fri Jun 02 18:19:38 GMT 2023","541","","","","","","Create a new product with authentication",""
"passed","Fri Jun 02 18:19:38 GMT 2023","Fri Jun 02 18:19:38 GMT 2023","58","","","","","","Update a product",""
